CLIENT_NAME,lounge_name,lounge_id,DATE_UTC,COUNT_PAX_ALLOWED,COUNT_PAX_REFUSED
LH,LH-LHR-SEN,546,2023-05-29,821,0
LH,LH-MUC-BUS-SAT-K,513,2023-05-29,920,224
LH,LH-MUC-BUS-SAT-L,515,2023-05-29,354,61
LH,LH-MUC-BUS-T2-G,505,2023-05-29,1202,312
LH,LH-MUC-BUS-T2-H,511,2023-05-29,486,147
LH,LH-MUC-DELIGHTS TO GO,516,2023-05-29,0,0
LH,LH-MUC-FCL-SAT,570,2023-05-29,96,4
LH,LH-MUC-FCL-T2,569,2023-05-29,123,60
LH,LH-MUC-SEN CAFE,504,2023-05-29,104,10
LH,LH-MUC-SEN-SAT-K,512,2023-05-29,409,0
LH,LH-MUC-SEN-SAT-L,514,2023-05-29,308,0
LH,LH-MUC-SEN-T2,509,2023-05-29,395,70
LH,LH-MUC-SEN-T2-G,506,2023-05-29,697,0
LH,LH-MUC-SEN-T2-H,510,2023-05-29,486,0
LH,LH-MXP-BUS,547,2023-05-29,591,62
LH,LH-NUE-BUS,564,2023-05-29,0,0
LH,LH-NUE-SEN,565,2023-05-29,0,0
LH,LH-STR-BUS,566,2023-05-29,0,0
LH,LH-STR-SEN,567,2023-05-29,0,0
LH,LH-TXL-BUS,548,2023-05-29,0,0
LH,LH-TXL-SEN,549,2023-05-29,0,0
LH,LH-ATH-BUS,528,2023-05-30,508,38
LH,LH-BER-BUS,576,2023-05-30,967,210
LH,LH-BER-SEN,577,2023-05-30,0,0
LH,LH-BOS-BUS,529,2023-05-30,212,52
LH,LH-BOS-FCL,530,2023-05-30,13,0
LH,LH-BRE-BUS,550,2023-05-30,0,0
LH,LH-BRE-SEN,551,2023-05-30,0,0
LH,LH-CDG-BUS,531,2023-05-30,156,49
LH,LH-CDG-SEN,532,2023-05-30,113,0
LH,LH-CGN-BUS,552,2023-05-30,0,0
LH,LH-CGN-SEN,553,2023-05-30,0,0
LH,LH-DEL-BUS,533,2023-05-30,0,0
LH,LH-DEL-SEN,534,2023-05-30,0,0
LH,LH-DRS-BUS,558,2023-05-30,0,0
LH,LH-DRS-SEN,559,2023-05-30,0,0
LH,LH-DTW-BUS,535,2023-05-30,257,82
LH,LH-DTW-SEN,536,2023-05-30,2,0
LH,LH-DUS-BUS,560,2023-05-30,663,191
LH,LH-DUS-SEN,561,2023-05-30,495,0
LH,LH-DXB-BUS,537,2023-05-30,78,2
LH,LH-DXB-SEN,538,2023-05-30,28,0
LH,LH-EWR-BUS,539,2023-05-30,196,26
LH,LH-EWR-SEN,540,2023-05-30,103,0
LH,LH-FRA-BUS-A,517,2023-05-30,1795,364
LH,LH-FRA-BUS-A-WEST,518,2023-05-30,549,148
LH,LH-FRA-BUS-B-OST,519,2023-05-30,762,178
LH,LH-FRA-BUS-B-WEST,508,2023-05-30,901,159
LH,LH-FRA-BUS-C14-C15,520,2023-05-30,127,18
LH,LH-FRA-BUS-C16,521,2023-05-30,0,0
LH,LH-FRA-BUS-Z,522,2023-05-30,929,191
LH,LH-FRA-FCL-A,572,2023-05-30,107,47
LH,LH-FRA-FCL-B,573,2023-05-30,46,2
LH,LH-FRA-FCL-TERMINAL,571,2023-05-30,252,20
LH,LH-FRA-PANORAMA,527,2023-05-30,811,217
LH,LH-FRA-SEN-A,524,2023-05-30,1535,322
LH,LH-FRA-SEN-B,525,2023-05-30,630,239
LH,LH-FRA-SEN-C,526,2023-05-30,21,0
LH,LH-FRA-SEN-Z,523,2023-05-30,665,0
LH,LH-FRA-WELCOME,574,2023-05-30,35,5
LH,LH-HAJ-BUS,554,2023-05-30,168,40
LH,LH-HAJ-SEN,555,2023-05-30,111,0
LH,LH-HAM-BUS,556,2023-05-30,714,112
LH,LH-HAM-SEN,557,2023-05-30,625,0
LH,LH-IAD-BUS,541,2023-05-30,209,39
LH,LH-IAD-SEN,542,2023-05-30,115,0
LH,LH-JFK-BUS,543,2023-05-30,269,18
LH,LH-JFK-FCL,568,2023-05-30,28,0
LH,LH-JFK-SEN,544,2023-05-30,84,0
